median_rent,renter_occ,all_units,one_br,two_br,three_br,multi_rm,county,GPID,NAME
605,120.0,420.0,26.0,0.0,26.0,368.0,Allegheny,10189,"Chalfant borough, Allegheny County, Pennsylvania"
940,135.0,876.0,0.0,0.0,9.0,867.0,Allegheny,9952,"Cheswick borough, Allegheny County, Pennsylvania"
1629,91.0,1360.0,0.0,0.0,0.0,1360.0,Allegheny,9776,"Churchill borough, Allegheny County, Pennsylvania"
830,1313.0,4124.0,74.0,51.0,304.0,3695.0,Allegheny,9608,"Clairton city, Allegheny County, Pennsylvania"
1463,614.0,4143.0,21.0,32.0,203.0,3887.0,Allegheny,9327,"Collier township, Allegheny County, Pennsylvania"
700,1323.0,3228.0,164.0,62.0,383.0,2619.0,Allegheny,9933,"Coraopolis borough, Allegheny County, Pennsylvania"
806,1261.0,3018.0,82.0,95.0,418.0,2423.0,Allegheny,9709,"Crafton borough, Allegheny County, Pennsylvania"
907,177.0,1119.0,20.0,0.0,49.0,1050.0,Allegheny,10123,"Crescent township, Allegheny County, Pennsylvania"
860,1707.0,4513.0,79.0,83.0,218.0,4133.0,Allegheny,9937,"Dormont borough, Allegheny County, Pennsylvania"
512,373.0,1022.0,24.0,0.0,63.0,935.0,Allegheny,7763,"Dravosburg borough, Allegheny County, Pennsylvania"
609,1370.0,3005.0,96.0,25.0,305.0,2579.0,Allegheny,9503,"Duquesne city, Allegheny County, Pennsylvania"
846,288.0,799.0,53.0,8.0,57.0,681.0,Allegheny,9632,"East Deer township, Allegheny County, Pennsylvania"
693,381.0,1182.0,0.0,5.0,112.0,1065.0,Allegheny,9621,"East McKeesport borough, Allegheny County, Pennsylvania"
618,596.0,1108.0,6.0,44.0,283.0,775.0,Allegheny,9775,"East Pittsburgh borough, Allegheny County, Pennsylvania"
890,535.0,1561.0,0.0,37.0,200.0,1324.0,Allegheny,9453,"Edgewood borough, Allegheny County, Pennsylvania"
